ellipsis_type,mt_service,num_metric,num_score
arg,google,meaning,2
arg,google,grammaticality,4
arg,google,meaning,2
arg,google,grammaticality,4
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,2
arg,google,grammaticality,4
arg,google,meaning,4
arg,google,grammaticality,2
arg,google,meaning,2
arg,google,grammaticality,4
arg,google,meaning,4
arg,google,grammaticality,2
arg,google,meaning,2
arg,google,grammaticality,4
arg,google,meaning,2
arg,google,grammaticality,4
arg,google,meaning,2
arg,google,grammaticality,4
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,2
arg,google,grammaticality,4
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,bing,meaning,4
arg,bing,grammaticality,2
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,2
arg,deepl,grammaticality,4
arg,deepl,meaning,4
arg,deepl,grammaticality,2
arg,deepl,meaning,2
arg,deepl,grammaticality,4
arg,deepl,meaning,2
arg,deepl,grammaticality,4
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,2
arg,deepl,grammaticality,4
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,3
arg,deepl,grammaticality,1
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,2
arg,deepl,grammaticality,4
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,2
arg,google,grammaticality,4
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,4
arg,google,grammaticality,2
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,4
arg,bing,grammaticality,2
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,4
arg,bing,grammaticality,2
arg,bing,meaning,4
arg,bing,grammaticality,2
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,2
arg,bing,grammaticality,4
arg,deepl,meaning,2
arg,deepl,grammaticality,4
arg,deepl,meaning,2
arg,deepl,grammaticality,4
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,2
arg,deepl,grammaticality,4
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,1
arg,deepl,grammaticality,3
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,2
arg,deepl,grammaticality,4
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,2
arg,deepl,grammaticality,4
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,bing,meaning,5
arg,bing,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,deepl,meaning,5
arg,deepl,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
arg,google,meaning,5
arg,google,grammaticality,5
